Nombre,Plataforma,Año,Género,Compañía,USA,Europa,Japón,Otros
Guilty Gear Xrd: Sign,PlayStation3,2014,Fighting,Arc System Works,0.1,0.0,0.07,0.02
Dance Dance Revolution: Disney Grooves,Nintendo Wii,2009,Simulation,Konami Digital Entertainment,0.17,0.0,0.0,0.01
Camping Mama: Outdoor Adventures,Nintendo Dual Screen,2011,Simulation,505 Games,0.12,0.05,0.0,0.02
Harvest Moon: A Wonderful Life Special Edition,PlayStation2,2004,Simulation,505 Games,0.09,0.07,0.0,0.02
Sports Illustrated for Kids: Football,Game Boy Advance,2003,Sports,BAM! Entertainment,0.13,0.05,0.0,0.0
The Munchables,Nintendo Wii,2009,Action,Namco Bandai Games,0.17,0.0,0.0,0.01
How to Train Your Dragon 2,Nintendo Wii,2014,Adventure,Little Orbit,0.04,0.13,0.0,0.01
.hack//Quarantine Part 4: The Final Chapter,PlayStation2,2003,Role-Playing,Atari,0.09,0.07,0.0,0.02
The Smurfs 2,Nintendo Dual Screen,2013,Platform,Ubisoft,0.0,0.17,0.0,0.01
Close Combat: First to Fight,Xbox,2005,Shooter,Take-Two Interactive,0.14,0.04,0.0,0.01
Indiana Jones and the Emperor's Tomb,Xbox,2003,Action,LucasArts,0.14,0.04,0.0,0.01
Buffy the Vampire Slayer: Chaos Bleeds,PlayStation2,2003,Action,Vivendi Games,0.09,0.07,0.0,0.02
Remington Super Slam Hunting: North America,Nintendo Wii,2010,Sports,Mastiff,0.17,0.0,0.0,0.01
Reel Fishing II,PlayStation,2000,Sports,Victor Interactive,0.1,0.07,0.0,0.01
Battle of Giants: Dinosaurs Strike,Nintendo Wii,2010,Strategy,Ubisoft,0.14,0.03,0.0,0.01
Ty the Tasmanian Tiger,Xbox,2002,Platform,Electronic Arts,0.14,0.04,0.0,0.01
Imagine: Babyz Fashion,Nintendo Dual Screen,2009,Simulation,Ubisoft,0.17,0.0,0.0,0.01
Dead or Alive,Sega Saturn,1997,Fighting,Tecmo Koei,0.0,0.0,0.18,0.0
Active Health with Carol Vorderman,Nintendo Dual Screen,2009,Sports,Nintendo,0.0,0.18,0.0,0.01
Driving Emotion Type-S,PlayStation2,2000,Racing,Electronic Arts,0.04,0.03,0.11,0.01
Heavy Fire: Afghanistan,PlayStation3,2011,Shooter,Unknown,0.17,0.0,0.0,0.02
Siren,PlayStation2,2003,Adventure,Sony Computer Entertainment,0.09,0.07,0.0,0.02
NARC,Xbox,2005,Shooter,Midway Games,0.14,0.04,0.0,0.01
Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03
Just Dance 2017,Nintendo Wii,2016,Misc,Ubisoft,0.06,0.11,0.0,0.01
NASCAR Unleashed,Nintendo Wii,2011,Racing,Activision,0.17,0.0,0.0,0.01
Super Robot Taisen J,Game Boy Advance,2005,Strategy,Banpresto,0.0,0.0,0.18,0.0
Shape Up,Xbox One,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01
Nep League DS,Nintendo Dual Screen,2007,Sports,Jaleco,0.0,0.0,0.18,0.0
Happy Cooking,Nintendo Dual Screen,2006,Simulation,Ubisoft,0.17,0.0,0.0,0.01
Ar tonelico 2: Melody of Metafalica,PlayStation2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01
Cars: Race-O-Rama,PlayStation3,2009,Racing,THQ,0.14,0.03,0.0,0.02
Jewel Master: Cradle of Athena,Nintendo Dual Screen,2010,Puzzle,Storm City Games,0.17,0.0,0.0,0.01
Saw II: Flesh & Blood,PlayStation3,2010,Action,Konami Digital Entertainment,0.1,0.06,0.0,0.02
Hidden Mysteries: Vampire Secrets,Nintendo Dual Screen,2010,Adventure,Astragon,0.06,0.11,0.0,0.02
Casper: Friends Around the World,PlayStation,2000,Action,TDK Core,0.1,0.07,0.0,0.01
Jurassic Park III: Island Attack,Game Boy Advance,2001,Adventure,Konami Digital Entertainment,0.13,0.05,0.0,0.0
Jikkyou Powerful Pro Baseball 2016,PlayStation Vita,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0
Tekken Tag Tournament 2,Nintendo WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01
GameBoy Wars,Nintendo Game Boy,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0
Amplitude,PlayStation2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02
Disgaea DS,Nintendo Dual Screen,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01
Gauntlet: Seven Sorrows,Xbox,2005,Role-Playing,Midway Games,0.14,0.04,0.0,0.01
AirForce Delta Storm,Xbox,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01
Metal Gear Solid V: The Phantom Pain,Xbox360,2015,Action,Konami Digital Entertainment,0.12,0.04,0.0,0.02
Monopoly Party,Xbox,2002,Misc,Infogrames,0.14,0.04,0.0,0.01
Fear Effect 2: Retro Helix,PlayStation,2001,Action,Eidos Interactive,0.1,0.07,0.0,0.01
Chaotic: Shadow Warriors,Nintendo Dual Screen,2009,Action,Activision,0.17,0.0,0.0,0.01
Ninja Gaiden 3,Nintendo WiiU,2012,Action,Nintendo,0.14,0.03,0.0,0.02
Atelier Shallie: Alchemists of the Dusk Sea,PlayStation3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02
Mahjong: Journey Quest for Tikal,Nintendo Dual Screen,2008,Puzzle,Rondomedia,0.15,0.02,0.0,0.01
Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.14,0.0,0.03
CSI: Fatal Conspiracy,PlayStation3,2010,Adventure,Ubisoft,0.11,0.05,0.0,0.02
Chocobo no Fushigi Dungeon for WonderSwan,WonderSwan,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0
International Superstar Soccer 2000 (JP weekly sales),Nintendo 64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0
Ringling Bros. and Barnum & Bailey Circus,Nintendo Wii,2009,Action,Take-Two Interactive,0.17,0.0,0.0,0.01
Klonoa: Door to Phantomile,PlayStation,1997,Platform,Sony Computer Entertainment,0.0,0.0,0.17,0.01
Vietcong: Purple Haze,PlayStation2,2004,Shooter,Gathering of Developers,0.09,0.07,0.0,0.02
Atari Anniversary Advance,Game Boy Advance,2002,Misc,Atari,0.13,0.05,0.0,0.0
Summer Athletics: The Ultimate Challenge,PlayStation2,2008,Sports,DTP Entertainment,0.0,0.0,0.0,0.18
Hatsune Miku and Future Stars: Project Mirai,Nintendo 3DS,2012,Misc,Sega,0.0,0.0,0.18,0.0
X-Men Origins: Wolverine,PlayStation2,2009,Action,Activision,0.13,0.0,0.0,0.05
Syndicate,Xbox360,2012,Shooter,Electronic Arts,0.1,0.06,0.0,0.02
Zumba Fitness Rush,Xbox360,2012,Sports,505 Games,0.0,0.16,0.0,0.02
Call of Juarez,Xbox360,2007,Shooter,Ubisoft,0.14,0.02,0.0,0.01
TalkMan (Japan),PlayStation Portable,2005,Misc,Sony Computer Entertainment,0.0,0.0,0.18,0.0
Ghostbusters: The Video Game,PlayStation Portable,2009,Action,Atari,0.16,0.01,0.0,0.02
Bloody Roar: Primal Fury,Nintendo GameCube,2002,Fighting,Activision,0.14,0.04,0.0,0.0
Mega Man Soccer,Super Nintendo Entertainment System,1993,Sports,Capcom,0.04,0.01,0.13,0.0
MotoGP,Nintendo Wii,2009,Racing,Capcom,0.05,0.11,0.0,0.02
Mushroom Men: The Spore Wars,Nintendo Wii,2008,Action,SouthPeak Games,0.16,0.01,0.0,0.01
Saint Seiya: Soldiers' Soul,PlayStation4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02
Brunswick Pro Bowling,PlayStation3,2010,Sports,505 Games,0.1,0.05,0.0,0.02
LEGO Harry Potter: Years 5-7,PlayStation Vita,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.07,0.0,0.03
FIFA Soccer 07,Nintendo GameCube,2006,Sports,Electronic Arts,0.14,0.04,0.0,0.0
Rabbids Party Collection,Nintendo Wii,2010,Misc,Ubisoft,0.0,0.16,0.0,0.02
Corpse Party: Blood Drive,PlayStation Vita,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03
The Last Airbender,Nintendo Dual Screen,2010,Action,THQ,0.13,0.04,0.0,0.01
My Fitness Coach 2: Exercise and Nutrition,Nintendo Wii,2009,Sports,Black Bean Games,0.13,0.03,0.0,0.01
PokÃ©mon I Choose You / Squirtle Squad Game Boy Advance Video,Game Boy Advance,2004,Misc,Nintendo,0.13,0.05,0.0,0.0
Vampire Savior: The Lord of Vampire,Sega Saturn,1998,Fighting,Capcom,0.0,0.0,0.18,0.0
UFC Personal Trainer: The Ultimate Fitness System,Nintendo Wii,2011,Sports,THQ,0.11,0.06,0.0,0.02
MotoGP 14 ,PlayStation4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03
Shrek SuperSlam,Nintendo Dual Screen,2005,Action,Activision,0.17,0.0,0.0,0.01
Alone in the Dark,Nintendo Wii,2008,Adventure,Atari,0.09,0.08,0.0,0.02
Super Robot Taisen UX,Nintendo 3DS,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0
Skylanders Imaginators,Nintendo WiiU,2016,Platform,Activision,0.09,0.08,0.0,0.02
Six Flags Fun Park,Nintendo Dual Screen,2008,Misc,Brash Entertainment,0.17,0.0,0.0,0.01
Test Drive Off-Road Wide Open,Xbox,2001,Racing,Infogrames,0.15,0.03,0.0,0.01
Jeopardy!,Nintendo Dual Screen,2010,Misc,THQ,0.17,0.0,0.0,0.01
Pro Yaky? Spirits 2011,PlayStation3,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0
Doctor Who: Return to Earth,Nintendo Wii,2010,Adventure,Asylum Entertainment,0.0,0.16,0.0,0.02
Battle Commander: Hachibushu Shura no Heihou,Super Nintendo Entertainment System,1991,Strategy,Banpresto,0.0,0.0,0.18,0.0
WWE All Stars,PlayStation Portable,2011,Fighting,THQ,0.12,0.04,0.0,0.03
Jampack Vol. 1,PlayStation,1996,Misc,Sony Computer Entertainment,0.1,0.07,0.0,0.01
Bad Boys: Miami Takedown,Xbox,2004,Shooter,Empire Interactive,0.14,0.04,0.0,0.01
Valhalla Knights 3,PlayStation Vita,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01
Mega Man X: Command Mission,PlayStation2,2004,Role-Playing,Capcom,0.09,0.07,0.0,0.02
Tokyo Xtreme Racer DRIFT,PlayStation2,2003,Racing,Genki,0.09,0.07,0.0,0.02
Moon,PlayStation,1997,Adventure,ASCII Entertainment,0.0,0.0,0.17,0.01
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Nintendo Dual Screen,2005,Action,Disney Interactive Studios,0.15,0.01,0.0,0.01
Cabela's Big Game Hunter 2005 Adventures,Xbox,2004,Sports,Activision,0.13,0.04,0.0,0.01
Re-Volt,Nintendo 64,1999,Racing,Acclaim Entertainment,0.14,0.04,0.0,0.0
Sesame Street: Elmo's Letter Adventure,Nintendo 64,1999,Misc,NewKidCo,0.14,0.04,0.0,0.0
Senran Kagura: Estival Versus,PlayStation Vita,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02
Might & Magic: Clash of Heroes,Nintendo Dual Screen,2009,Role-Playing,Ubisoft,0.15,0.02,0.0,0.01
GRID Autosport,PlayStation3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03
Gokujou Parodius,Super Nintendo Entertainment System,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.18,0.0
Half-Minute Hero,PlayStation Portable,2009,Role-Playing,Rising Star Games,0.08,0.01,0.07,0.01
Gauntlet: Dark Legacy,Nintendo GameCube,2002,Action,Midway Games,0.14,0.04,0.0,0.0
A.C.E.: Another Century's Episode 2,PlayStation2,2006,Simulation,Banpresto,0.0,0.0,0.18,0.0
The Chronicles of Narnia: Prince Caspian,Xbox360,2008,Action,Disney Interactive Studios,0.16,0.01,0.0,0.01
Company of Heroes: Anthology,PC,2009,Strategy,THQ,0.0,0.15,0.0,0.03
Shadow The Hedgehog,Xbox,2005,Platform,Sega,0.13,0.04,0.0,0.01
Daigasso! Band Brothers P,Nintendo 3DS,2013,Misc,Nintendo,0.0,0.0,0.18,0.0
Batman: Vengeance,Game Boy Advance,2001,Adventure,Ubisoft,0.13,0.05,0.0,0.0
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,Sega Dreamcast,2000,Sports,Sega,0.0,0.0,0.18,0.0
The Adventures of Cookie & Cream,PlayStation2,2000,Puzzle,Empire Interactive,0.09,0.07,0.0,0.02
World of Outlaws: Sprint Cars,Xbox360,2010,Racing,THQ,0.17,0.0,0.0,0.01
Van Helsing,Xbox,2007,Action,Activision,0.13,0.04,0.0,0.01
Grand Slam Tennis 2,Xbox360,2012,Sports,Electronic Arts,0.1,0.06,0.0,0.02
Ben 10 Ultimate Alien: Cosmic Destruction,Xbox360,2010,Platform,D3Publisher,0.1,0.06,0.0,0.02
Pure Futbol,Xbox360,2010,Sports,Ubisoft,0.08,0.08,0.0,0.02
Spider-Man: Friend or Foe,PlayStation Portable,2007,Action,Activision,0.16,0.0,0.0,0.01
Sing4: The Hits Edition,Nintendo Wii,2011,Misc,Crave Entertainment,0.17,0.0,0.0,0.01
Gun,Nintendo GameCube,2005,Shooter,Activision,0.14,0.04,0.0,0.0
SoulCalibur Legends,Nintendo Wii,2007,Action,Namco Bandai Games,0.16,0.01,0.0,0.01
Rio,Nintendo Wii,2011,Misc,THQ,0.13,0.03,0.0,0.01
F1 Challenge,Sega Saturn,1994,Racing,Sega,0.0,0.0,0.18,0.0
Squeeballs Party,Nintendo Wii,2009,Puzzle,Performance Designed Products,0.17,0.0,0.0,0.01
Metal Gear Ac!d 2,PlayStation Portable,2005,Strategy,Konami Digital Entertainment,0.11,0.0,0.05,0.01
Shadow Madness,PlayStation,1999,Action,Crave Entertainment,0.1,0.07,0.0,0.01
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02
Tiger Woods PGA Tour 2004,Game Boy Advance,2003,Sports,Electronic Arts,0.13,0.05,0.0,0.0
The Game of Life / Yahtzee / Payday,Game Boy Advance,2005,Misc,Zoo Digital Publishing,0.13,0.05,0.0,0.0
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0.0,0.14,0.0,0.04
American Chopper 2: Full Throttle,PlayStation2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0.0,0.02
Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.03
de Blob 2,Nintendo Wii,2011,Platform,THQ,0.11,0.06,0.0,0.02
Silent Hill 4: The Room,Xbox,2004,Action,Konami Digital Entertainment,0.14,0.04,0.0,0.01
Commandos 2: Men of Courage,PlayStation2,2002,Strategy,Eidos Interactive,0.09,0.07,0.0,0.02
Remember Me,Xbox360,2013,Action,Capcom,0.1,0.06,0.0,0.02
Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03
FIFA Soccer 2002,Nintendo GameCube,2001,Sports,Electronic Arts,0.14,0.04,0.0,0.0
Pro Evolution Soccer 2013,Nintendo 3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01
Atari Anniversary Edition Redux,PlayStation,2000,Misc,Infogrames,0.1,0.07,0.0,0.01
Lips: Party Classics,Xbox360,2010,Misc,Microsoft Game Studios,0.05,0.11,0.0,0.02
Toukiden: The Age of Demons,PlayStation Portable,2013,Action,Tecmo Koei,0.0,0.0,0.18,0.0
Fireblade,PlayStation2,2002,Action,Midway Games,0.09,0.07,0.0,0.02
Disney's Tarzan Untamed,Nintendo GameCube,2001,Platform,Ubisoft,0.14,0.04,0.0,0.0
Brunswick Circuit Pro Bowling,PlayStation,1998,Sports,THQ,0.1,0.07,0.0,0.01
Marvel Super Hero Squad: Comic Combat,Nintendo Wii,2011,Action,THQ,0.14,0.03,0.0,0.01
Trinity Universe,PlayStation3,2009,Role-Playing,Nippon Ichi Software,0.07,0.05,0.03,0.02
Payday 2,Xbox One,2015,Shooter,505 Games,0.09,0.07,0.0,0.02
Pirates: Hunt For Blackbeard's Booty,Nintendo Wii,2008,Adventure,Activision,0.08,0.08,0.0,0.02
Cabela's Dangerous Hunts 2009,PlayStation2,2008,Sports,Activision Value,0.09,0.07,0.0,0.02
Senran Kagura: Estival Versus,PlayStation4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02
Ball Breakers,PlayStation,2000,Action,Take-Two Interactive,0.1,0.07,0.0,0.01
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PlayStation2,2005,Action,Namco Bandai Games,0.0,0.0,0.18,0.0
Splatterhouse,Xbox360,2010,Action,Namco Bandai Games,0.14,0.03,0.0,0.01
EyeToy: Groove,PlayStation2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02
You Don't Know Jack,PlayStation3,2011,Misc,THQ,0.16,0.0,0.0,0.01
Chuck E. Cheese's Party Games,Nintendo Dual Screen,2010,Misc,UFO Interactive,0.17,0.0,0.0,0.01
Charlie and the Chocolate Factory,Nintendo GameCube,2005,Adventure,Global Star,0.14,0.04,0.0,0.0
Armored Core: Last Raven,PlayStation2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01
Burnout Legends,Nintendo Dual Screen,2005,Racing,Electronic Arts,0.15,0.02,0.0,0.01
Tomb Raider: Underworld,PlayStation2,2009,Action,Eidos Interactive,0.09,0.04,0.0,0.05
College Hoops 2K7,PlayStation3,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01
Hello Kitty: Birthday Adventures,Nintendo Dual Screen,2010,Adventure,Namco Bandai Games,0.06,0.1,0.0,0.02
All Grown Up! Express Yourself,Game Boy Advance,2004,Misc,THQ,0.13,0.05,0.0,0.0
Escape The Museum,Nintendo Dual Screen,2010,Adventure,Astragon,0.04,0.12,0.0,0.02
K-1 World Grand Prix,PlayStation2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01
Kidou Senshi Gundam: Senjou no Kizuna Portable,PlayStation Portable,2009,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.0
Super Robot Taisen A Portable,PlayStation Portable,2008,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.0
Juiced,Xbox,2005,Racing,THQ,0.13,0.04,0.0,0.01
Naruto Shippuden: Dragon Blade Chronicles,Nintendo Wii,2009,Action,505 Games,0.11,0.01,0.05,0.01
Looney Tunes: Back in Action,Game Boy Advance,2003,Platform,Electronic Arts,0.13,0.05,0.0,0.0
Shaun White Skateboarding,Nintendo Wii,2010,Sports,Ubisoft,0.13,0.03,0.0,0.01
DiRT Showdown,PlayStation3,2012,Racing,Codemasters,0.02,0.12,0.0,0.03
Virtua Tennis,Game Boy Advance,2002,Sports,Atari,0.13,0.05,0.0,0.0
Cabela's Big Game Hunter: Hunting Party,Xbox360,2011,Sports,Activision,0.16,0.0,0.0,0.02
Tales of the Tempest,Nintendo Dual Screen,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0
SimCity Creator (JP sales),Nintendo Dual Screen,2008,Simulation,Electronic Arts,0.0,0.0,0.18,0.0
Biohazard: Revival Selection,PlayStation3,2011,Action,Capcom,0.0,0.0,0.18,0.0
Sonic Riders: Zero Gravity,PlayStation2,2008,Racing,Sega,0.09,0.07,0.0,0.02
UFC: Sudden Impact,PlayStation2,2004,Fighting,Global Star,0.09,0.07,0.0,0.02
NBA Hoopz,PlayStation2,2001,Sports,Midway Games,0.09,0.07,0.0,0.02
ESPN X Games Skateboarding,Game Boy Advance,2001,Sports,Konami Digital Entertainment,0.13,0.05,0.0,0.0
Nancy Drew: The Hidden Staircase,Nintendo Dual Screen,2008,Adventure,THQ,0.16,0.0,0.0,0.01
Speedball 2100,PlayStation,2000,Sports,Empire Interactive,0.1,0.07,0.0,0.01
Full Auto 2: Battlelines,PlayStation3,2006,Racing,Sega,0.14,0.02,0.0,0.02
College Hoops 2K8,Xbox360,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01
LEGO Island 2: The Brickster's Revenge,PlayStation,2001,Adventure,LEGO Media,0.1,0.07,0.0,0.01
How to Train Your Dragon,PlayStation3,2010,Action,Activision,0.12,0.03,0.0,0.02
Backyard Basketball,Game Boy Advance,2004,Sports,Atari,0.13,0.05,0.0,0.0
Madden NFL 09,Xbox,2008,Sports,Electronic Arts,0.13,0.04,0.0,0.01
Dynasty Warriors: Gundam 3,Xbox360,2010,Action,Tecmo Koei,0.11,0.03,0.02,0.01
Scooby-Doo! Unmasked,Game Boy Advance,2005,Platform,THQ,0.13,0.05,0.0,0.0
Summon Night 4,PlayStation2,2006,Role-Playing,Banpresto,0.0,0.0,0.18,0.0
NHL 2004,Xbox,2003,Sports,Electronic Arts,0.13,0.04,0.0,0.01
Pro Yaky? Spirits 5,PlayStation2,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0
Back to the Future: The Game,PlayStation4,2015,Adventure,Telltale Games,0.1,0.05,0.0,0.03
Namco Museum: 50th Anniversary,Xbox,2005,Misc,Namco Bandai Games,0.13,0.04,0.0,0.01
Monster 4x4: Stunt Racer,Nintendo Wii,2009,Racing,Ubisoft,0.16,0.0,0.0,0.01
Velvet Assassin,Xbox360,2009,Shooter,DTP Entertainment,0.14,0.02,0.01,0.01
NFL 2K2,Xbox,2002,Sports,Sega,0.13,0.04,0.0,0.01
MindJack,PlayStation3,2011,Shooter,Square Enix,0.07,0.07,0.0,0.03
Marvel Super Hero Squad: Comic Combat,Xbox360,2011,Action,THQ,0.13,0.04,0.0,0.01
NBA Live 16,PlayStation4,2015,Sports,Electronic Arts,0.1,0.04,0.0,0.03
WWE SmackDown vs. Raw 2009,Nintendo Dual Screen,2008,Fighting,THQ,0.14,0.02,0.0,0.01
Dead or Alive Paradise,PlayStation Portable,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01
The Suffering: Ties That Bind,PlayStation2,2005,Action,Midway Games,0.09,0.07,0.0,0.02
EyeToy: Kinetic,PlayStation2,2005,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.02
Transformers: Prime,Nintendo 3DS,2012,Action,Activision,0.13,0.02,0.0,0.02
Fancy Nancy: Tea Party Time!,Nintendo Dual Screen,2010,Adventure,THQ,0.16,0.0,0.0,0.01
Project Spark,Xbox One,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02
Army Men: Sarge's Heroes 2,PlayStation2,2001,Shooter,Midas Interactive Entertainment,0.09,0.07,0.0,0.02
Yakuza Zero: The Place of Oath,PlayStation4,2015,Action,Sega,0.0,0.0,0.17,0.0
The Wild Thornberrys: Animal Adventures,PlayStation,2000,Adventure,Mattel Interactive,0.1,0.07,0.0,0.01
Cabela's Adventure Camp,Nintendo Wii,2011,Misc,Activision,0.14,0.02,0.0,0.02
SEGA Bass Fishing Duel,PlayStation2,2002,Sports,Sega,0.09,0.07,0.0,0.02
Sports Illustrated for Kids: Baseball,Game Boy Advance,2001,Sports,BAM! Entertainment,0.12,0.05,0.0,0.0
Mark Davis Pro Bass Challenge,PlayStation2,2002,Sports,Natsume,0.09,0.07,0.0,0.02
Rugrats: Royal Ransom,Nintendo GameCube,2002,Platform,THQ,0.13,0.03,0.0,0.0
Winning Eleven: Pro Evolution Soccer 2007,Nintendo Dual Screen,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0
Warriors of Might and Magic,PlayStation2,2001,Adventure,3DO,0.09,0.07,0.0,0.02
Rapala Fishing Frenzy 2009,PlayStation3,2008,Sports,Activision,0.16,0.0,0.0,0.01
Petz: Horseshoe Ranch,Nintendo Dual Screen,2009,Adventure,Ubisoft,0.16,0.0,0.0,0.01
Open Season,Nintendo GameCube,2006,Platform,Ubisoft,0.13,0.03,0.0,0.0
Ridge Racer,PlayStation Vita,2011,Racing,Namco Bandai Games,0.03,0.07,0.05,0.02
EyePet & Friends,PlayStation3,2011,Simulation,Sony Computer Entertainment,0.06,0.08,0.0,0.03
Street Fighter: The Movie,PlayStation,1995,Fighting,Acclaim Entertainment,0.1,0.07,0.0,0.01
Major League Baseball 2K9,PlayStation3,2009,Sports,Spike,0.16,0.0,0.0,0.01
World Championship Poker,Game Boy Advance,2004,Misc,Crave Entertainment,0.12,0.05,0.0,0.0
Global Defence Force,PlayStation2,2005,Shooter,Essential Games,0.0,0.0,0.17,0.0
Major League Baseball 2K6,Nintendo GameCube,2006,Sports,Take-Two Interactive,0.13,0.03,0.0,0.0
WordJong Party,Nintendo Wii,2008,Puzzle,Destineer,0.16,0.0,0.0,0.01
SaGa 2: Hihou Densetsu - Goddess of Destiny,Nintendo Dual Screen,2009,Role-Playing,Square Enix,0.0,0.0,0.17,0.0
Smash Court Tennis Pro Tournament,PlayStation2,2002,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02
Super Robot Taisen L,Nintendo Dual Screen,2010,Strategy,Namco Bandai Games,0.0,0.0,0.17,0.0
Race Pro,Xbox360,2009,Racing,Atari,0.06,0.09,0.0,0.02
The Grim Adventures of Billy & Mandy,Nintendo GameCube,2006,Action,Midway Games,0.13,0.03,0.0,0.0
NBA Inside Drive 2004,Xbox,2003,Sports,Microsoft Game Studios,0.13,0.04,0.0,0.01
The King of Fighters '97,PlayStation,1998,Fighting,SNK,0.0,0.0,0.16,0.01
Time Commando,PlayStation,1996,Action,Adeline Software,0.1,0.07,0.0,0.01
Professional Fisherman's Tour: Northern Hemisphere,Nintendo Dual Screen,2007,Sports,505 Games,0.16,0.0,0.0,0.01
Kekkaishi: Karasumori Ayakashi Kidan,Nintendo Dual Screen,2007,Action,Namco Bandai Games,0.0,0.0,0.17,0.0
Gretzky NHL 2005,PlayStation2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.08,0.08,0.0,0.02
The Hobbit,Nintendo GameCube,2003,Platform,Vivendi Games,0.13,0.03,0.0,0.0
MotoGP 15,PlayStation4,2015,Racing,Milestone S.r.l.,0.0,0.12,0.03,0.02
Backyard Sports Football: Rookie Rush,Nintendo Dual Screen,2010,Sports,Atari,0.16,0.0,0.0,0.01
Skate it,Nintendo Dual Screen,2008,Sports,Electronic Arts,0.14,0.02,0.0,0.01
Cabela's Legendary Adventures,Nintendo Wii,2008,Sports,Activision,0.16,0.0,0.0,0.01
True Crime: New York City,Nintendo GameCube,2005,Action,Activision,0.13,0.03,0.0,0.0
Metal Arms: Glitch in the System,Xbox,2003,Shooter,Vivendi Games,0.13,0.04,0.0,0.01
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PlayStation Portable,2012,Action,Namco Bandai Games,0.0,0.0,0.17,0.0
Toukiden Kiwami,PlayStation4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02
The Secret World,PC,2012,Role-Playing,Funcom,0.07,0.08,0.0,0.02
Ice Age: Dawn of the Dinosaurs,PlayStation2,2009,Action,Activision,0.08,0.07,0.0,0.02
ESPN Final Round Golf 2002,Game Boy Advance,2001,Sports,Konami Digital Entertainment,0.12,0.05,0.0,0.0
Iron Chef America: Supreme Cuisine,Nintendo Wii,2008,Simulation,Destineer,0.16,0.0,0.0,0.01
MDK2 Armageddon,PlayStation2,2001,Shooter,Virgin Interactive,0.08,0.07,0.0,0.02
Exhibition Volume 02,Xbox,2003,Misc,Microsoft Game Studios,0.13,0.04,0.0,0.01
NHL 2K9,Xbox360,2008,Sports,Take-Two Interactive,0.15,0.01,0.0,0.01
I Spy: Castle,Nintendo Dual Screen,2011,Puzzle,Scholastic Inc.,0.16,0.0,0.0,0.01
